"session_id","n_hit","n_fa","n_miss","n_cr","acc_88","sum"
1518,6,2,24,28,"57%",60
1520,18,16,12,14,"53%",60
1521,22,4,8,26,"80%",60
1522,15,5,15,25,"67%",60
1523,28,4,2,26,"90%",60
1524,23,2,7,28,"85%",60
1525,25,3,5,27,"87%",60
1526,24,8,6,22,"77%",60
1527,24,3,6,27,"85%",60
1528,14,7,16,23,"62%",60
1529,24,2,6,28,"87%",60
1530,18,18,12,12,"50%",60
1532,17,0,13,30,"78%",60
1533,25,3,5,27,"87%",60
1534,28,6,2,24,"87%",60
1535,24,1,6,29,"88%",60
1536,8,9,22,21,"48%",60
1537,19,6,11,24,"72%",60
1539,24,7,6,23,"78%",60
1540,28,1,2,29,"95%",60
1542,19,5,14,25,"70%",63
1543,9,2,21,28,"62%",60
1544,22,0,8,30,"87%",60
1545,25,2,5,28,"88%",60
1546,26,4,4,26,"87%",60
1547,9,9,20,21,"51%",59
1548,19,1,11,29,"80%",60
1549,18,5,12,25,"72%",60
1550,25,1,5,29,"90%",60
1551,24,3,6,27,"85%",60
1552,15,10,15,20,"58%",60
1553,27,0,3,30,"95%",60
1554,24,3,6,25,"84%",58
1555,12,3,18,27,"65%",60
1556,18,26,12,4,"37%",60
1557,29,1,1,29,"97%",60
1558,26,1,4,29,"92%",60
1559,10,5,20,25,"58%",60
1560,25,5,5,25,"83%",60
1561,10,2,20,28,"63%",60
1562,19,9,11,21,"67%",60
1563,22,9,8,21,"72%",60
1564,15,12,15,18,"55%",60
1565,22,4,8,26,"80%",60
1566,27,1,3,29,"93%",60
1567,10,0,20,30,"67%",60
1568,7,3,23,27,"57%",60
1569,16,13,14,17,"55%",60
1570,22,3,8,27,"82%",60
1571,19,7,11,23,"70%",60
1573,11,10,19,20,"52%",60
1574,23,2,7,28,"85%",60
1575,23,0,5,29,"91%",57
1576,20,0,10,30,"83%",60
1577,27,7,3,23,"83%",60
1578,17,0,13,30,"78%",60
1579,28,2,2,28,"93%",60
1580,28,1,2,29,"95%",60
1581,26,3,4,27,"88%",60
1582,19,9,11,21,"67%",60
1583,20,0,10,30,"83%",60
1584,16,4,14,26,"70%",60
1585,11,6,19,24,"58%",60
1588,11,5,18,25,"61%",59
1589,23,18,7,12,"58%",60
1590,21,15,9,15,"60%",60
1591,18,0,12,30,"80%",60
1592,19,1,11,29,"80%",60
1593,23,1,7,29,"87%",60
1594,18,12,12,18,"60%",60
1595,24,2,6,28,"87%",60
1596,17,1,13,29,"77%",60
1598,29,1,1,29,"97%",60
1599,18,0,12,30,"80%",60
1600,21,4,8,25,"79%",58
1601,15,0,14,29,"76%",58
1602,21,1,9,29,"83%",60
1603,26,0,4,29,"93%",59
1604,27,0,3,30,"95%",60
1605,27,3,3,27,"90%",60
1606,18,12,12,17,"59%",59
1607,27,1,3,29,"93%",60
1608,28,4,2,26,"90%",60
1609,19,1,11,29,"80%",60
1610,25,1,5,28,"90%",59
1612,22,7,8,23,"75%",60
1613,24,18,6,10,"59%",58
1614,12,8,18,22,"57%",60
1615,18,2,11,28,"78%",59
1616,19,16,11,13,"54%",59
1618,27,3,4,26,"88%",60
1619,27,1,3,30,"93%",61
1620,25,11,5,18,"73%",59
1621,22,8,8,22,"73%",60
1622,22,4,8,26,"80%",60
1623,12,3,18,27,"65%",60
1625,23,3,6,27,"85%",59
1626,23,4,7,26,"82%",60
1627,21,11,9,18,"66%",59
1628,26,1,4,29,"92%",60
1629,17,8,13,22,"65%",60
1630,23,1,7,29,"87%",60
1631,21,6,9,24,"75%",60
1632,14,4,16,26,"67%",60
1633,13,0,17,30,"72%",60
1635,23,5,7,25,"80%",60
1636,26,0,4,30,"93%",60
1637,20,1,10,28,"81%",59
1638,11,7,18,22,"57%",58
1639,19,16,11,14,"55%",60
1640,5,3,25,27,"53%",60
1641,22,4,8,25,"80%",59
1642,22,18,8,11,"56%",59
1643,21,2,9,28,"82%",60
1645,21,17,9,13,"57%",60
1646,30,2,0,28,"97%",60
1647,15,3,15,26,"69%",59
1648,24,0,6,29,"90%",59
1649,23,15,7,15,"63%",60
1650,17,9,13,21,"63%",60
1651,18,11,12,19,"62%",60
1653,11,14,18,16,"46%",59
1654,23,5,7,25,"80%",60
1655,12,9,17,21,"56%",59
1656,25,1,4,28,"91%",58
1657,18,3,12,27,"75%",60
1658,18,5,10,25,"74%",58
1659,27,4,3,26,"88%",60
1660,25,2,5,28,"88%",60
1663,24,8,5,22,"78%",59
1664,22,10,8,20,"70%",60
1666,21,0,9,30,"85%",60
1667,20,0,10,29,"83%",59
1668,17,2,13,28,"75%",60
1669,5,3,24,23,"51%",55
1671,18,11,11,19,"63%",59
1672,22,1,6,28,"88%",57
1673,26,6,4,24,"83%",60
1674,22,4,8,25,"80%",59
1675,7,0,23,30,"62%",60
1676,26,20,4,10,"60%",60
1677,16,10,14,19,"59%",59
1678,28,1,1,29,"97%",59
1679,12,0,18,30,"70%",60
1680,18,0,12,29,"80%",59
1681,5,1,25,29,"57%",60
1682,10,6,20,24,"57%",60
1683,26,4,4,26,"87%",60
1684,22,0,8,30,"87%",60
1685,16,0,13,30,"78%",59
1686,25,2,5,28,"88%",60
1687,27,2,3,27,"92%",59
1688,18,14,12,16,"57%",60
1689,18,11,12,19,"62%",60
1690,18,21,12,9,"45%",60
1691,25,6,4,23,"83%",58
1692,6,8,24,22,"47%",60
1693,19,7,11,23,"70%",60
1694,16,1,14,30,"75%",61
1695,18,7,12,23,"68%",60
1696,27,4,3,26,"88%",60
1697,20,21,10,9,"48%",60
1698,27,2,3,28,"92%",60
1699,22,3,8,27,"82%",60
1700,19,4,10,25,"76%",58
1701,18,0,12,30,"80%",60
1702,16,1,14,29,"75%",60
1703,26,7,4,22,"81%",59
1704,21,6,9,24,"75%",60
1705,14,9,16,21,"58%",60
1706,18,4,11,26,"75%",59
1707,15,1,14,29,"75%",59
1708,14,3,16,27,"68%",60
1709,15,0,14,30,"76%",59
1710,12,6,18,24,"60%",60
1711,27,1,3,29,"93%",60
1712,24,2,6,28,"87%",60
1713,19,12,9,18,"64%",58
1714,22,2,7,28,"85%",59
1715,22,4,8,26,"80%",60
1716,27,3,3,27,"90%",60
1717,23,3,7,27,"83%",60
1718,29,2,1,28,"95%",60
1719,20,0,10,30,"83%",60
